"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000009709.12"	0	1	0	0	0	0	0	0
"ENSG00000009724.18"	3	0	1	5	18	8	20	12
"ENSG00000009765.15"	0	0	0	0	1	0	0	0
"ENSG00000009780.16"	48.999	49	43	46	70.999	24	65	77
"ENSG00000009790.15"	0	0	0	0	0	2.133	3.111	1.104
"ENSG00000009830.13"	1063.998	853.999	741.999	699.002	1781.231	927.002	1317	1760.004
"ENSG00000009844.16"	12	18	28	79	42.001	41	146.006	115.009
"ENSG00000009950.16"	721.001	609	452.999	534	1020	533.999	911.001	1093.097
"ENSG00000009954.11"	111	121	218	377	373	227	853.116	675
"ENSG00000010017.13"	56	52	95	237.996	144.268	73.754	313	259.956
"ENSG00000010030.14"	1	2	1	0	0	0	0	0
"ENSG00000010072.16"	19	16.888	9.109	39.624	43.194	20.38	47.986	40.813
"ENSG00000010165.20"	1517.001	1322.002	1319	1291	2468.14	1281.001	2230.511	3191.01
"ENSG00000010219.14"	211.051	173	176	217	237.001	121	298.001	390.481
"ENSG00000010244.19"	587.955	436.683	435	680	1291.015	763.001	1126.977	1230
"ENSG00000010256.11"	9640.403	7562.702	7829.399	7369.605	15232.948	8053.43	10223.561	14545.773
"ENSG00000010270.14"	175	136	178	213.999	387.974	217.001	433.306	543
"ENSG00000010278.15"	2013.001	1877.831	1014	1119.029	2721.022	1610.198	2496	3007.022
"ENSG00000010282.15"	0	0	0	0	0	0	0	0
"ENSG00000010292.13"	2724.297	2563.394	1949.014	2292.721	5872.404	3274.888	3757.603	4514.339
"ENSG00000010295.20"	4	2	2	0	4	2	1	6
"ENSG00000010310.9"	152.999	113	33.001	36.999	150	64	96	115
"ENSG00000010318.22"	43	46	66	55	84.001	51	142	135
"ENSG00000010319.7"	44	42	20	20	107	52	29	48
"ENSG00000010322.16"	1751	1472.122	1276.013	1240	4832.148	2364.189	3606.264	4797.994
"ENSG00000010327.10"	57.279	65.009	5.007	8.003	35.001	28.012	1	5
"ENSG00000010361.14"	27.557	32.345	15.332	19.062	14.352	10.724	16.972	18.339
"ENSG00000010379.16"	0	0	0	0	0	4	0	0
"ENSG00000010404.18"	262.529	219.08	347.293	465.918	376.491	184.103	611.694	638.609
"ENSG00000010438.17"	0	0	0	0	0	0	0	0
"ENSG00000010539.12"	34	28	25	52	57.082	29.999	95	97
"ENSG00000010610.10"	18	6	5	5	21	12	20	26
"ENSG00000010626.15"	255.62	247.986	231.45	257.076	240.349	123.912	332.622	380.69
"ENSG00000010671.18"	0	1	0	0.896	0	0	1	0
"ENSG00000010704.19"	312.054	241.999	211	316.999	236	115	263.999	290
"ENSG00000010803.17"	471.738	340	408.909	408.366	822.001	445.999	852.035	1125.571
"ENSG00000010810.17"	137	125.001	242	324.001	737	390.999	1339	1395.083
"ENSG00000010818.11"	1	11	15	47	17	17	117.001	74
"ENSG00000010932.17"	0	0	0	0	0	0	0	0
"ENSG00000011007.13"	261.539	251.483	236.361	349.891	676.737	396.999	819.113	846.034
"ENSG00000011009.11"	3522.317	2696.614	1772.001	1780	5434.989	2552.001	3142.207	4048.047
"ENSG00000011021.23"	551.254	525.99	480	653.999	582	294	567.811	750.062
"ENSG00000011028.14"	3	2	3	3	1	1	0	1
"ENSG00000011052.21"	44.722	25.521	51.131	59.389	131.212	56.701	192.268	221.45
"ENSG00000011083.9"	0	0	0	0	0	0	0	0
"ENSG00000011105.14"	1052.999	927	747	692	1672.077	893.999	1092	1456.001
"ENSG00000011114.15"	22	23	71	93	57.999	22	141	102
"ENSG00000011132.12"	634	528	494.001	479.001	1868.21	903	1195.999	1607
"ENSG00000011143.19"	994.192	819	935.977	938.06	989.001	549.439	1036.146	1289.528
"ENSG00000011198.10"	31.999	20	16.999	26	48	34	107	111.998
"ENSG00000011201.12"	0	0	0	0	0	0	0	0
"ENSG00000011243.19"	1278.668	1095.431	1526.204	1654.324	2975.093	1462.95	3308.55	4283.213
"ENSG00000011258.16"	4	5	11	21	13	9	47	39.001
"ENSG00000011260.14"	67	48	75	144	154	103	310.001	262.007
"ENSG00000011275.19"	562.529	467	682	843	1384.725	805.333	2032.999	2494.407
"ENSG00000011295.16"	63	58	92	165	134	72.001	291	235.356
"ENSG00000011304.22"	19107.94	15939.476	13915.394	13886.424	39751.381	20534.487	20429.046	28173.84
"ENSG00000011332.22"	266.001	210.001	106	79	660.999	347	394.001	452
"ENSG00000011347.10"	449.703	366	252.001	353.001	975	482	634.001	869.016
"ENSG00000011376.12"	331.999	286.005	345.999	371.326	879.999	536	979.994	1260
"ENSG00000011405.14"	22	25	57	142	71	32	264	199
"ENSG00000011422.12"	648.124	583.002	871.004	1014.024	1973.508	930.56	3062.998	4107.086
"ENSG00000011426.11"	25	37	42	126.001	163	103	291	200
"ENSG00000011451.21"	3077.008	2491.127	2477.335	2418.922	7337.414	3555.976	5542.361	7200.536
"ENSG00000011454.18"	26	33	49	89	65	23	163	161
"ENSG00000011465.18"	0	0	0	0	0	0	0	0
"ENSG00000011478.13"	1787.316	1589.733	1267.023	1454	3210.413	1645.002	2358.001	3286.099
"ENSG00000011485.15"	5294.709	4239.941	3492.958	3403.843	8024.862	4264.544	5168.022	6956.072
"ENSG00000011523.15"	187.092	193.001	144.361	137.001	349.999	207.076	284.019	339
"ENSG00000011566.15"	11	15	23	53	50	26	124	103
"ENSG00000011590.14"	2	6	8	14	9	5	21	16
"ENSG00000011600.12"	0	0	0	0	0	0	0	0
"ENSG00000011638.11"	414.002	327	740	734	418.001	233	520	686.018
"ENSG00000011677.13"	107	84	106	153.001	178	86	252	250.113
"ENSG00000012048.24"	29	41.132	55	134.004	88	42	341.001	243.001
"ENSG00000012061.16"	3250.384	2768.451	2536.036	2635.058	3974.247	1926.298	3263.265	4384.663
"ENSG00000012124.17"	0	1	0	0	0	0	1	0
